,company,belgian_reviews,lux_reviews
0,pwc,"https://www.glassdoor.com/Reviews/PwC-Belgium-Reviews-EI_IE8450.0,3_IL.4,11_IN25.htm?filter.iso3Language=eng&filter.employmentStatus=REGULAR&filter.employmentStatus=PART_TIME","https://www.glassdoor.com/Reviews/PwC-Luxembourg-Reviews-EI_IE8450.0,3_IL.4,14_IN148.htm?filter.iso3Language=eng&filter.employmentStatus=REGULAR&filter.employmentStatus=PART_TIME"
1,belfius,"https://www.glassdoor.com/Reviews/Belfius-Bank-Belgium-Reviews-EI_IE600419.0,12_IL.13,20_IN25.htm?filter.iso3Language=eng&filter.employmentStatus=REGULAR&filter.employmentStatus=PART_TIME",
2,ey,"https://www.glassdoor.com/Reviews/EY-Belgium-Reviews-EI_IE2784.0,2_IL.3,10_IN25.htm?filter.iso3Language=eng&filter.employmentStatus=REGULAR&filter.employmentStatus=PART_TIME","https://www.glassdoor.com/Reviews/EY-Luxembourg-Reviews-EI_IE2784.0,2_IL.3,13_IN148.htm?filter.iso3Language=eng&filter.employmentStatus=REGULAR&filter.employmentStatus=PART_TIME"
3,bnp_paribas,"https://www.glassdoor.com/Reviews/BNP-Paribas-Belgium-Reviews-EI_IE10342.0,11_IL.12,19_IN25.htm?filter.iso3Language=eng&filter.employmentStatus=REGULAR&filter.employmentStatus=PART_TIME",
4,odoo,"https://www.glassdoor.com/Reviews/Odoo-Belgium-Reviews-EI_IE749314.0,4_IL.5,12_IN25.htm?filter.iso3Language=eng&filter.employmentStatus=REGULAR&filter.employmentStatus=PART_TIME",
5,alter_domus,,"https://www.glassdoor.com/Reviews/Alter-Domus-Luxembourg-Reviews-EI_IE606627.0,11_IL.12,22_IN148.htm?filter.iso3Language=eng&filter.employmentStatus=REGULAR&filter.employmentStatus=PART_TIME"
6,kpmg,"https://www.glassdoor.com/Reviews/KPMG-Belgium-Reviews-EI_IE2867.0,4_IL.5,12_IN25.htm?filter.iso3Language=eng&filter.employmentStatus=REGULAR&filter.employmentStatus=PART_TIME","https://www.glassdoor.com/Reviews/KPMG-Luxembourg-Reviews-EI_IE2867.0,4_IL.5,15_IN148.htm?filter.iso3Language=eng&filter.employmentStatus=REGULAR&filter.employmentStatus=PART_TIME"
7,kbc,"https://www.glassdoor.com/Reviews/KBC-Belgium-Reviews-EI_IE10308.0,3_IL.4,11_IN25.htm?filter.iso3Language=eng&filter.employmentStatus=REGULAR&filter.employmentStatus=PART_TIME",
8,deloitte,"https://www.glassdoor.com/Reviews/Deloitte-Belgium-Reviews-EI_IE2763.0,8_IL.9,16_IN25.htm?filter.iso3Language=eng&filter.employmentStatus=REGULAR&filter.employmentStatus=PART_TIME","https://www.glassdoor.com/Reviews/Deloitte-Luxembourg-Reviews-EI_IE2763.0,8_IL.9,19_IN148.htm?filter.iso3Language=eng&filter.employmentStatus=REGULAR&filter.employmentStatus=PART_TIME"
9,accenture,"https://www.glassdoor.com/Reviews/Accenture-Belgium-Reviews-EI_IE4138.0,9_IL.10,17_IN25.htm?filter.iso3Language=eng&filter.employmentStatus=REGULAR&filter.employmentStatus=PART_TIME","https://www.glassdoor.com/Reviews/Accenture-Luxembourg-Reviews-EI_IE4138.0,9_IL.10,20_IN148.htm?filter.iso3Language=eng&filter.employmentStatus=REGULAR&filter.employmentStatus=PART_TIME"
10,bain_and_company,"https://www.glassdoor.com/Reviews/Bain-and-Company-Belgium-Reviews-EI_IE3752.0,16_IL.17,24_IN25.htm?filter.iso3Language=eng&filter.employmentStatus=REGULAR&filter.employmentStatus=PART_TIME",
11,mckinsey,"https://www.glassdoor.com/Reviews/McKinsey-and-Company-Belgium-Reviews-EI_IE2893.0,20_IL.21,28_IN25.htm?filter.iso3Language=eng&filter.employmentStatus=REGULAR&filter.employmentStatus=PART_TIME",
